"P1","P2","P3","P4","P5","Gold","Silver","Bronze","TotalScore","MedalCount","VT","FX","HB","PB","PH","SR"
"karnes_joshua_andrew","wiskus_shane","loos_riley","malone_brody","phillips_curran",1,0,0,72,1,"wiskus_shane, karnes_joshua_andrew, loos_riley, malone_brody","phillips_curran, malone_brody, karnes_joshua_andrew, wiskus_shane","malone_brody, wiskus_shane, karnes_joshua_andrew, loos_riley","karnes_joshua_andrew, malone_brody, wiskus_shane, loos_riley","karnes_joshua_andrew, malone_brody, wiskus_shane, phillips_curran","wiskus_shane, malone_brody, karnes_joshua_andrew, loos_riley"
"wiskus_shane","richard_frederick","loos_riley","malone_brody","skirkey_ian",1,0,0,72,1,"richard_frederick, malone_brody, skirkey_ian, loos_riley","skirkey_ian, malone_brody, richard_frederick, loos_riley","wiskus_shane, richard_frederick, loos_riley, skirkey_ian","wiskus_shane, malone_brody, skirkey_ian, richard_frederick","skirkey_ian, richard_frederick, wiskus_shane, malone_brody","wiskus_shane, loos_riley, skirkey_ian, richard_frederick"
"wiskus_shane","richard_frederick","loos_riley","skirkey_ian","whittenburg_donnell",1,0,1,72,1,"richard_frederick, loos_riley, whittenburg_donnell, skirkey_ian","loos_riley, wiskus_shane, whittenburg_donnell, richard_frederick","wiskus_shane, whittenburg_donnell, skirkey_ian, loos_riley","whittenburg_donnell, wiskus_shane, skirkey_ian, richard_frederick","skirkey_ian, wiskus_shane, richard_frederick, loos_riley","wiskus_shane, skirkey_ian, whittenburg_donnell, richard_frederick"
"loos_riley","malone_brody","phillips_curran","nedoroscik_stephen","skirkey_ian",1,0,1,72,1,"skirkey_ian, phillips_curran, loos_riley, malone_brody","loos_riley, malone_brody, skirkey_ian, phillips_curran","malone_brody, skirkey_ian, phillips_curran, loos_riley","phillips_curran, loos_riley, nedoroscik_stephen, skirkey_ian","skirkey_ian, phillips_curran, nedoroscik_stephen, loos_riley","nedoroscik_stephen, malone_brody, loos_riley, skirkey_ian"
"blixt_landen_paul","walker_colt","karnes_joshua_andrew","richard_frederick","skirkey_ian",0,1,0,71,1,"skirkey_ian, richard_frederick, walker_colt, blixt_landen_paul","walker_colt, skirkey_ian, blixt_landen_paul, karnes_joshua_andrew","blixt_landen_paul, richard_frederick, karnes_joshua_andrew, skirkey_ian","richard_frederick, skirkey_ian, karnes_joshua_andrew, walker_colt","skirkey_ian, walker_colt, karnes_joshua_andrew, blixt_landen_paul","karnes_joshua_andrew, blixt_landen_paul, richard_frederick, walker_colt"
"blixt_landen_paul","walker_colt","moldauer_yul","loos_riley","malone_brody",1,0,0,71,1,"blixt_landen_paul, walker_colt, loos_riley, malone_brody","loos_riley, moldauer_yul, walker_colt, malone_brody","loos_riley, malone_brody, blixt_landen_paul, moldauer_yul","moldauer_yul, walker_colt, malone_brody, loos_riley","walker_colt, malone_brody, moldauer_yul, loos_riley","blixt_landen_paul, walker_colt, loos_riley, malone_brody"
"blixt_landen_paul","christopulos_taylor_troy","karnes_joshua_andrew","wiskus_shane","whittenburg_donnell",1,0,1,71,1,"whittenburg_donnell, christopulos_taylor_troy, blixt_landen_paul, wiskus_shane","karnes_joshua_andrew, blixt_landen_paul, wiskus_shane, christopulos_taylor_troy","whittenburg_donnell, karnes_joshua_andrew, blixt_landen_paul, christopulos_taylor_troy","wiskus_shane, blixt_landen_paul, whittenburg_donnell, karnes_joshua_andrew","wiskus_shane, christopulos_taylor_troy, whittenburg_donnell, karnes_joshua_andrew","blixt_landen_paul, whittenburg_donnell, karnes_joshua_andrew, christopulos_taylor_troy"
"blixt_landen_paul","richard_frederick","loos_riley","malone_brody","phillips_curran",0,1,1,71,1,"blixt_landen_paul, richard_frederick, malone_brody, phillips_curran","loos_riley, blixt_landen_paul, richard_frederick, phillips_curran","richard_frederick, loos_riley, blixt_landen_paul, malone_brody","richard_frederick, loos_riley, phillips_curran, malone_brody","loos_riley, malone_brody, phillips_curran, richard_frederick","loos_riley, blixt_landen_paul, phillips_curran, richard_frederick"
"walker_colt","hong_asher","wiskus_shane","phillips_curran","whittenburg_donnell",0,1,1,71,1,"whittenburg_donnell, wiskus_shane, walker_colt, phillips_curran","whittenburg_donnell, walker_colt, phillips_curran, wiskus_shane","whittenburg_donnell, walker_colt, hong_asher, phillips_curran","phillips_curran, walker_colt, wiskus_shane, whittenburg_donnell","whittenburg_donnell, wiskus_shane, walker_colt, hong_asher","phillips_curran, wiskus_shane, whittenburg_donnell, hong_asher"
"walker_colt","hong_asher","richard_frederick","loos_riley","malone_brody",0,1,1,71,1,"malone_brody, loos_riley, walker_colt, richard_frederick","hong_asher, walker_colt, loos_riley, malone_brody","richard_frederick, malone_brody, loos_riley, hong_asher","hong_asher, loos_riley, walker_colt, malone_brody","loos_riley, malone_brody, hong_asher, richard_frederick","hong_asher, malone_brody, walker_colt, loos_riley"
"christopulos_taylor_troy","karnes_joshua_andrew","hong_asher","richard_frederick","malone_brody",0,1,0,71,1,"christopulos_taylor_troy, malone_brody, hong_asher, karnes_joshua_andrew","christopulos_taylor_troy, karnes_joshua_andrew, malone_brody, richard_frederick","christopulos_taylor_troy, richard_frederick, hong_asher, karnes_joshua_andrew","karnes_joshua_andrew, hong_asher, richard_frederick, malone_brody","hong_asher, karnes_joshua_andrew, christopulos_taylor_troy, richard_frederick","karnes_joshua_andrew, richard_frederick, malone_brody, christopulos_taylor_troy"
"christopulos_taylor_troy","karnes_joshua_andrew","richard_frederick","loos_riley","malone_brody",0,1,0,71,1,"richard_frederick, malone_brody, loos_riley, christopulos_taylor_troy","karnes_joshua_andrew, richard_frederick, christopulos_taylor_troy, loos_riley","karnes_joshua_andrew, christopulos_taylor_troy, malone_brody, richard_frederick","karnes_joshua_andrew, loos_riley, richard_frederick, malone_brody","malone_brody, loos_riley, richard_frederick, karnes_joshua_andrew","loos_riley, karnes_joshua_andrew, malone_brody, christopulos_taylor_troy"
"christopulos_taylor_troy","hong_asher","moldauer_yul","wiskus_shane","phillips_curran",0,1,1,71,1,"christopulos_taylor_troy, phillips_curran, moldauer_yul, hong_asher","wiskus_shane, moldauer_yul, christopulos_taylor_troy, hong_asher","christopulos_taylor_troy, moldauer_yul, phillips_curran, wiskus_shane","moldauer_yul, christopulos_taylor_troy, hong_asher, wiskus_shane","phillips_curran, christopulos_taylor_troy, moldauer_yul, wiskus_shane","phillips_curran, moldauer_yul, hong_asher, wiskus_shane"
"christopulos_taylor_troy","richard_frederick","malone_brody","phillips_curran","skirkey_ian",1,0,1,71,1,"phillips_curran, malone_brody, richard_frederick, christopulos_taylor_troy","richard_frederick, skirkey_ian, malone_brody, christopulos_taylor_troy","phillips_curran, malone_brody, richard_frederick, skirkey_ian","malone_brody, phillips_curran, christopulos_taylor_troy, richard_frederick","phillips_curran, skirkey_ian, malone_brody, richard_frederick","skirkey_ian, christopulos_taylor_troy, richard_frederick, phillips_curran"
"karnes_joshua_andrew","moldauer_yul","malone_brody","phillips_curran","whittenburg_donnell",0,1,0,71,1,"karnes_joshua_andrew, whittenburg_donnell, phillips_curran, moldauer_yul","phillips_curran, moldauer_yul, whittenburg_donnell, karnes_joshua_andrew","whittenburg_donnell, malone_brody, karnes_joshua_andrew, moldauer_yul","whittenburg_donnell, karnes_joshua_andrew, malone_brody, phillips_curran","moldauer_yul, whittenburg_donnell, phillips_curran, malone_brody","whittenburg_donnell, malone_brody, moldauer_yul, phillips_curran"
"wiskus_shane","richard_frederick","malone_brody","phillips_curran","nedoroscik_stephen",0,1,1,71,1,"wiskus_shane, malone_brody, nedoroscik_stephen, richard_frederick","phillips_curran, wiskus_shane, malone_brody, nedoroscik_stephen","richard_frederick, malone_brody, phillips_curran, wiskus_shane","richard_frederick, malone_brody, nedoroscik_stephen, phillips_curran","malone_brody, phillips_curran, wiskus_shane, richard_frederick","nedoroscik_stephen, phillips_curran, malone_brody, richard_frederick"
"wiskus_shane","richard_frederick","phillips_curran","nedoroscik_stephen","whittenburg_donnell",0,0,1,71,0,"phillips_curran, wiskus_shane, whittenburg_donnell, nedoroscik_stephen","richard_frederick, nedoroscik_stephen, whittenburg_donnell, wiskus_shane","wiskus_shane, whittenburg_donnell, phillips_curran, nedoroscik_stephen","whittenburg_donnell, wiskus_shane, richard_frederick, nedoroscik_stephen","richard_frederick, phillips_curran, wiskus_shane, nedoroscik_stephen","whittenburg_donnell, phillips_curran, wiskus_shane, richard_frederick"
"blixt_landen_paul","walker_colt","christopulos_taylor_troy","moldauer_yul","phillips_curran",0,1,1,70,1,"blixt_landen_paul, walker_colt, phillips_curran, moldauer_yul","walker_colt, blixt_landen_paul, phillips_curran, moldauer_yul","phillips_curran, christopulos_taylor_troy, blixt_landen_paul, walker_colt","christopulos_taylor_troy, phillips_curran, blixt_landen_paul, walker_colt","christopulos_taylor_troy, moldauer_yul, blixt_landen_paul, phillips_curran","phillips_curran, moldauer_yul, christopulos_taylor_troy, blixt_landen_paul"
"blixt_landen_paul","christopulos_taylor_troy","karnes_joshua_andrew","malone_brody","nedoroscik_stephen",0,1,1,70,1,"blixt_landen_paul, malone_brody, christopulos_taylor_troy, karnes_joshua_andrew","blixt_landen_paul, karnes_joshua_andrew, christopulos_taylor_troy, malone_brody","nedoroscik_stephen, blixt_landen_paul, malone_brody, karnes_joshua_andrew","christopulos_taylor_troy, nedoroscik_stephen, malone_brody, blixt_landen_paul","malone_brody, christopulos_taylor_troy, nedoroscik_stephen, blixt_landen_paul","blixt_landen_paul, nedoroscik_stephen, christopulos_taylor_troy, karnes_joshua_andrew"
"blixt_landen_paul","christopulos_taylor_troy","karnes_joshua_andrew","phillips_curran","skirkey_ian",0,1,1,70,1,"christopulos_taylor_troy, phillips_curran, skirkey_ian, blixt_landen_paul","blixt_landen_paul, skirkey_ian, karnes_joshua_andrew, christopulos_taylor_troy","skirkey_ian, christopulos_taylor_troy, karnes_joshua_andrew, blixt_landen_paul","phillips_curran, christopulos_taylor_troy, blixt_landen_paul, karnes_joshua_andrew","blixt_landen_paul, karnes_joshua_andrew, christopulos_taylor_troy, phillips_curran","karnes_joshua_andrew, blixt_landen_paul, phillips_curran, christopulos_taylor_troy"
"blixt_landen_paul","christopulos_taylor_troy","moldauer_yul","richard_frederick","malone_brody",0,1,2,70,1,"moldauer_yul, richard_frederick, blixt_landen_paul, christopulos_taylor_troy","malone_brody, richard_frederick, blixt_landen_paul, christopulos_taylor_troy","malone_brody, moldauer_yul, christopulos_taylor_troy, richard_frederick","blixt_landen_paul, richard_frederick, christopulos_taylor_troy, moldauer_yul","blixt_landen_paul, christopulos_taylor_troy, moldauer_yul, richard_frederick","moldauer_yul, malone_brody, richard_frederick, blixt_landen_paul"
"blixt_landen_paul","hong_asher","moldauer_yul","loos_riley","malone_brody",0,1,1,70,1,"malone_brody, hong_asher, blixt_landen_paul, loos_riley","hong_asher, blixt_landen_paul, moldauer_yul, loos_riley","blixt_landen_paul, moldauer_yul, loos_riley, hong_asher","malone_brody, hong_asher, loos_riley, blixt_landen_paul","malone_brody, blixt_landen_paul, loos_riley, hong_asher","malone_brody, hong_asher, moldauer_yul, blixt_landen_paul"
"walker_colt","christopulos_taylor_troy","hong_asher","wiskus_shane","skirkey_ian",0,1,0,70,1,"christopulos_taylor_troy, skirkey_ian, wiskus_shane, hong_asher","christopulos_taylor_troy, hong_asher, walker_colt, wiskus_shane","walker_colt, wiskus_shane, skirkey_ian, christopulos_taylor_troy","wiskus_shane, christopulos_taylor_troy, walker_colt, skirkey_ian","hong_asher, skirkey_ian, walker_colt, wiskus_shane","hong_asher, walker_colt, wiskus_shane, christopulos_taylor_troy"
"walker_colt","christopulos_taylor_troy","hong_asher","phillips_curran","nedoroscik_stephen",0,0,0,70,0,"hong_asher, nedoroscik_stephen, phillips_curran, christopulos_taylor_troy","christopulos_taylor_troy, phillips_curran, hong_asher, nedoroscik_stephen","phillips_curran, hong_asher, walker_colt, nedoroscik_stephen","walker_colt, nedoroscik_stephen, phillips_curran, christopulos_taylor_troy","phillips_curran, hong_asher, christopulos_taylor_troy, walker_colt","phillips_curran, nedoroscik_stephen, walker_colt, hong_asher"
"walker_colt","karnes_joshua_andrew","moldauer_yul","wiskus_shane","loos_riley",0,0,3,70,0,"loos_riley, walker_colt, moldauer_yul, wiskus_shane","karnes_joshua_andrew, moldauer_yul, wiskus_shane, walker_colt","moldauer_yul, wiskus_shane, karnes_joshua_andrew, walker_colt","walker_colt, moldauer_yul, wiskus_shane, karnes_joshua_andrew","wiskus_shane, walker_colt, moldauer_yul, loos_riley","moldauer_yul, loos_riley, walker_colt, karnes_joshua_andrew"
"walker_colt","karnes_joshua_andrew","moldauer_yul","wiskus_shane","nedoroscik_stephen",0,0,3,70,0,"karnes_joshua_andrew, moldauer_yul, walker_colt, wiskus_shane","wiskus_shane, karnes_joshua_andrew, walker_colt, nedoroscik_stephen","nedoroscik_stephen, karnes_joshua_andrew, walker_colt, wiskus_shane","wiskus_shane, walker_colt, karnes_joshua_andrew, nedoroscik_stephen","walker_colt, karnes_joshua_andrew, wiskus_shane, moldauer_yul","nedoroscik_stephen, moldauer_yul, karnes_joshua_andrew, wiskus_shane"
"walker_colt","karnes_joshua_andrew","moldauer_yul","richard_frederick","phillips_curran",0,0,3,70,0,"karnes_joshua_andrew, moldauer_yul, walker_colt, richard_frederick","karnes_joshua_andrew, walker_colt, phillips_curran, moldauer_yul","phillips_curran, karnes_joshua_andrew, richard_frederick, walker_colt","richard_frederick, moldauer_yul, phillips_curran, karnes_joshua_andrew","moldauer_yul, phillips_curran, walker_colt, karnes_joshua_andrew","richard_frederick, moldauer_yul, phillips_curran, karnes_joshua_andrew"
"walker_colt","moldauer_yul","malone_brody","phillips_curran","nedoroscik_stephen",0,1,1,70,1,"walker_colt, phillips_curran, nedoroscik_stephen, moldauer_yul","moldauer_yul, walker_colt, malone_brody, phillips_curran","nedoroscik_stephen, moldauer_yul, malone_brody, walker_colt","moldauer_yul, malone_brody, nedoroscik_stephen, phillips_curran","phillips_curran, walker_colt, moldauer_yul, malone_brody","malone_brody, walker_colt, moldauer_yul, nedoroscik_stephen"
"karnes_joshua_andrew","hong_asher","malone_brody","skirkey_ian","whittenburg_donnell",0,1,1,70,1,"hong_asher, skirkey_ian, karnes_joshua_andrew, malone_brody","karnes_joshua_andrew, whittenburg_donnell, skirkey_ian, hong_asher","skirkey_ian, hong_asher, malone_brody, karnes_joshua_andrew","hong_asher, whittenburg_donnell, skirkey_ian, malone_brody","hong_asher, skirkey_ian, malone_brody, whittenburg_donnell","whittenburg_donnell, skirkey_ian, hong_asher, karnes_joshua_andrew"
"karnes_joshua_andrew","moldauer_yul","wiskus_shane","phillips_curran","whittenburg_donnell",1,0,0,70,1,"phillips_curran, moldauer_yul, wiskus_shane, whittenburg_donnell","karnes_joshua_andrew, whittenburg_donnell, phillips_curran, moldauer_yul","karnes_joshua_andrew, phillips_curran, moldauer_yul, whittenburg_donnell","wiskus_shane, phillips_curran, karnes_joshua_andrew, moldauer_yul","phillips_curran, wiskus_shane, whittenburg_donnell, karnes_joshua_andrew","phillips_curran, karnes_joshua_andrew, whittenburg_donnell, moldauer_yul"
"karnes_joshua_andrew","moldauer_yul","richard_frederick","malone_brody","phillips_curran",0,1,1,70,1,"moldauer_yul, richard_frederick, malone_brody, karnes_joshua_andrew","karnes_joshua_andrew, richard_frederick, moldauer_yul, phillips_curran","richard_frederick, phillips_curran, moldauer_yul, karnes_joshua_andrew","phillips_curran, malone_brody, richard_frederick, karnes_joshua_andrew","phillips_curran, malone_brody, richard_frederick, karnes_joshua_andrew","karnes_joshua_andrew, malone_brody, richard_frederick, moldauer_yul"
"karnes_joshua_andrew","moldauer_yul","richard_frederick","malone_brody","nedoroscik_stephen",1,0,0,70,1,"malone_brody, moldauer_yul, richard_frederick, nedoroscik_stephen","richard_frederick, malone_brody, nedoroscik_stephen, moldauer_yul","richard_frederick, nedoroscik_stephen, malone_brody, karnes_joshua_andrew","nedoroscik_stephen, moldauer_yul, richard_frederick, malone_brody","richard_frederick, moldauer_yul, nedoroscik_stephen, malone_brody","karnes_joshua_andrew, nedoroscik_stephen, moldauer_yul, richard_frederick"
"karnes_joshua_andrew","moldauer_yul","richard_frederick","phillips_curran","whittenburg_donnell",0,0,2,70,0,"whittenburg_donnell, richard_frederick, phillips_curran, moldauer_yul","karnes_joshua_andrew, phillips_curran, whittenburg_donnell, moldauer_yul","whittenburg_donnell, phillips_curran, richard_frederick, moldauer_yul","moldauer_yul, karnes_joshua_andrew, phillips_curran, whittenburg_donnell","richard_frederick, moldauer_yul, karnes_joshua_andrew, whittenburg_donnell","karnes_joshua_andrew, whittenburg_donnell, richard_frederick, phillips_curran"
"hong_asher","moldauer_yul","wiskus_shane","phillips_curran","skirkey_ian",1,0,0,70,1,"wiskus_shane, skirkey_ian, moldauer_yul, hong_asher","phillips_curran, skirkey_ian, wiskus_shane, moldauer_yul","skirkey_ian, hong_asher, wiskus_shane, phillips_curran","skirkey_ian, wiskus_shane, hong_asher, moldauer_yul","moldauer_yul, hong_asher, wiskus_shane, skirkey_ian","wiskus_shane, moldauer_yul, phillips_curran, skirkey_ian"
"moldauer_yul","richard_frederick","phillips_curran","nedoroscik_stephen","skirkey_ian",1,0,0,70,1,"moldauer_yul, phillips_curran, nedoroscik_stephen, richard_frederick","phillips_curran, nedoroscik_stephen, richard_frederick, skirkey_ian","skirkey_ian, moldauer_yul, phillips_curran, nedoroscik_stephen","richard_frederick, skirkey_ian, nedoroscik_stephen, phillips_curran","phillips_curran, moldauer_yul, skirkey_ian, richard_frederick","richard_frederick, moldauer_yul, phillips_curran, skirkey_ian"
"blixt_landen_paul","christopulos_taylor_troy","wiskus_shane","richard_frederick","nedoroscik_stephen",0,1,0,69,1,"richard_frederick, wiskus_shane, christopulos_taylor_troy, blixt_landen_paul","christopulos_taylor_troy, richard_frederick, blixt_landen_paul, wiskus_shane","christopulos_taylor_troy, wiskus_shane, richard_frederick, blixt_landen_paul","christopulos_taylor_troy, wiskus_shane, blixt_landen_paul, nedoroscik_stephen","wiskus_shane, richard_frederick, blixt_landen_paul, nedoroscik_stephen","wiskus_shane, nedoroscik_stephen, richard_frederick, christopulos_taylor_troy"
"blixt_landen_paul","christopulos_taylor_troy","richard_frederick","skirkey_ian","whittenburg_donnell",0,1,1,69,1,"skirkey_ian, whittenburg_donnell, christopulos_taylor_troy, richard_frederick","blixt_landen_paul, richard_frederick, christopulos_taylor_troy, whittenburg_donnell","blixt_landen_paul, skirkey_ian, christopulos_taylor_troy, whittenburg_donnell","blixt_landen_paul, whittenburg_donnell, christopulos_taylor_troy, richard_frederick","skirkey_ian, christopulos_taylor_troy, richard_frederick, blixt_landen_paul","skirkey_ian, richard_frederick, christopulos_taylor_troy, whittenburg_donnell"
"blixt_landen_paul","karnes_joshua_andrew","moldauer_yul","wiskus_shane","skirkey_ian",0,1,0,69,1,"blixt_landen_paul, wiskus_shane, skirkey_ian, karnes_joshua_andrew","blixt_landen_paul, moldauer_yul, wiskus_shane, karnes_joshua_andrew","karnes_joshua_andrew, skirkey_ian, blixt_landen_paul, wiskus_shane","wiskus_shane, blixt_landen_paul, skirkey_ian, karnes_joshua_andrew","wiskus_shane, moldauer_yul, skirkey_ian, karnes_joshua_andrew","skirkey_ian, wiskus_shane, moldauer_yul, karnes_joshua_andrew"
"blixt_landen_paul","karnes_joshua_andrew","wiskus_shane","malone_brody","nedoroscik_stephen",0,1,1,69,1,"nedoroscik_stephen, blixt_landen_paul, karnes_joshua_andrew, wiskus_shane","wiskus_shane, blixt_landen_paul, nedoroscik_stephen, karnes_joshua_andrew","karnes_joshua_andrew, malone_brody, blixt_landen_paul, wiskus_shane","malone_brody, wiskus_shane, blixt_landen_paul, karnes_joshua_andrew","malone_brody, nedoroscik_stephen, wiskus_shane, karnes_joshua_andrew","karnes_joshua_andrew, nedoroscik_stephen, wiskus_shane, blixt_landen_paul"
"walker_colt","christopulos_taylor_troy","karnes_joshua_andrew","moldauer_yul","wiskus_shane",0,0,2,69,0,"karnes_joshua_andrew, christopulos_taylor_troy, moldauer_yul, wiskus_shane","christopulos_taylor_troy, moldauer_yul, walker_colt, karnes_joshua_andrew","wiskus_shane, walker_colt, karnes_joshua_andrew, christopulos_taylor_troy","wiskus_shane, christopulos_taylor_troy, karnes_joshua_andrew, moldauer_yul","christopulos_taylor_troy, wiskus_shane, walker_colt, moldauer_yul","walker_colt, karnes_joshua_andrew, christopulos_taylor_troy, wiskus_shane"
"walker_colt","christopulos_taylor_troy","karnes_joshua_andrew","wiskus_shane","malone_brody",0,1,1,69,1,"walker_colt, christopulos_taylor_troy, karnes_joshua_andrew, malone_brody","malone_brody, walker_colt, karnes_joshua_andrew, wiskus_shane","christopulos_taylor_troy, walker_colt, wiskus_shane, karnes_joshua_andrew","malone_brody, wiskus_shane, karnes_joshua_andrew, walker_colt","malone_brody, christopulos_taylor_troy, wiskus_shane, walker_colt","christopulos_taylor_troy, karnes_joshua_andrew, malone_brody, wiskus_shane"
"walker_colt","karnes_joshua_andrew","hong_asher","malone_brody","nedoroscik_stephen",0,1,1,69,1,"nedoroscik_stephen, walker_colt, karnes_joshua_andrew, malone_brody","karnes_joshua_andrew, hong_asher, nedoroscik_stephen, malone_brody","malone_brody, karnes_joshua_andrew, walker_colt, hong_asher","hong_asher, walker_colt, karnes_joshua_andrew, nedoroscik_stephen","malone_brody, hong_asher, walker_colt, karnes_joshua_andrew","karnes_joshua_andrew, walker_colt, nedoroscik_stephen, hong_asher"
"walker_colt","karnes_joshua_andrew","wiskus_shane","phillips_curran","whittenburg_donnell",0,1,1,69,1,"walker_colt, karnes_joshua_andrew, wiskus_shane, phillips_curran","wiskus_shane, phillips_curran, walker_colt, whittenburg_donnell","whittenburg_donnell, phillips_curran, karnes_joshua_andrew, walker_colt","walker_colt, karnes_joshua_andrew, whittenburg_donnell, phillips_curran","whittenburg_donnell, phillips_curran, wiskus_shane, walker_colt","whittenburg_donnell, wiskus_shane, phillips_curran, walker_colt"
"walker_colt","karnes_joshua_andrew","richard_frederick","loos_riley","phillips_curran",0,1,1,69,1,"phillips_curran, loos_riley, walker_colt, richard_frederick","loos_riley, walker_colt, phillips_curran, richard_frederick","richard_frederick, loos_riley, phillips_curran, karnes_joshua_andrew","karnes_joshua_andrew, richard_frederick, loos_riley, phillips_curran","richard_frederick, walker_colt, karnes_joshua_andrew, loos_riley","loos_riley, karnes_joshua_andrew, walker_colt, phillips_curran"
"walker_colt","hong_asher","moldauer_yul","wiskus_shane","skirkey_ian",0,1,1,69,1,"walker_colt, hong_asher, moldauer_yul, skirkey_ian","walker_colt, wiskus_shane, moldauer_yul, skirkey_ian","wiskus_shane, hong_asher, moldauer_yul, walker_colt","walker_colt, wiskus_shane, hong_asher, skirkey_ian","walker_colt, wiskus_shane, moldauer_yul, hong_asher","moldauer_yul, skirkey_ian, walker_colt, wiskus_shane"
"walker_colt","hong_asher","wiskus_shane","loos_riley","malone_brody",0,1,1,69,1,"wiskus_shane, loos_riley, walker_colt, malone_brody","walker_colt, malone_brody, loos_riley, wiskus_shane","walker_colt, malone_brody, hong_asher, loos_riley","walker_colt, wiskus_shane, loos_riley, malone_brody","walker_colt, malone_brody, wiskus_shane, loos_riley","malone_brody, loos_riley, walker_colt, hong_asher"
"walker_colt","hong_asher","wiskus_shane","phillips_curran","nedoroscik_stephen",0,1,0,69,1,"hong_asher, walker_colt, wiskus_shane, nedoroscik_stephen","phillips_curran, wiskus_shane, walker_colt, nedoroscik_stephen","phillips_curran, hong_asher, wiskus_shane, walker_colt","hong_asher, wiskus_shane, walker_colt, phillips_curran","wiskus_shane, nedoroscik_stephen, walker_colt, hong_asher","phillips_curran, walker_colt, hong_asher, wiskus_shane"
"walker_colt","hong_asher","malone_brody","skirkey_ian","whittenburg_donnell",0,1,1,69,1,"hong_asher, whittenburg_donnell, malone_brody, walker_colt","hong_asher, walker_colt, malone_brody, skirkey_ian","malone_brody, skirkey_ian, walker_colt, hong_asher","skirkey_ian, whittenburg_donnell, walker_colt, malone_brody","malone_brody, whittenburg_donnell, walker_colt, skirkey_ian","hong_asher, malone_brody, walker_colt, skirkey_ian"
"walker_colt","richard_frederick","loos_riley","malone_brody","phillips_curran",1,0,0,69,1,"malone_brody, phillips_curran, walker_colt, richard_frederick","richard_frederick, malone_brody, phillips_curran, loos_riley","loos_riley, phillips_curran, walker_colt, malone_brody","phillips_curran, malone_brody, loos_riley, richard_frederick","loos_riley, malone_brody, richard_frederick, phillips_curran","loos_riley, walker_colt, phillips_curran, malone_brody"
"christopulos_taylor_troy","wiskus_shane","loos_riley","malone_brody","phillips_curran",1,0,0,69,1,"wiskus_shane, loos_riley, phillips_curran, christopulos_taylor_troy","christopulos_taylor_troy, malone_brody, phillips_curran, loos_riley","loos_riley, malone_brody, wiskus_shane, christopulos_taylor_troy","phillips_curran, loos_riley, christopulos_taylor_troy, wiskus_shane","loos_riley, phillips_curran, wiskus_shane, malone_brody","loos_riley, wiskus_shane, malone_brody, christopulos_taylor_troy"
"karnes_joshua_andrew","moldauer_yul","wiskus_shane","richard_frederick","skirkey_ian",0,0,2,69,0,"wiskus_shane, richard_frederick, moldauer_yul, karnes_joshua_andrew","wiskus_shane, moldauer_yul, karnes_joshua_andrew, richard_frederick","richard_frederick, karnes_joshua_andrew, skirkey_ian, wiskus_shane","skirkey_ian, karnes_joshua_andrew, wiskus_shane, richard_frederick","wiskus_shane, moldauer_yul, skirkey_ian, karnes_joshua_andrew","karnes_joshua_andrew, richard_frederick, skirkey_ian, wiskus_shane"
"karnes_joshua_andrew","wiskus_shane","richard_frederick","phillips_curran","whittenburg_donnell",0,1,0,69,1,"wiskus_shane, whittenburg_donnell, phillips_curran, richard_frederick","wiskus_shane, richard_frederick, whittenburg_donnell, karnes_joshua_andrew","wiskus_shane, whittenburg_donnell, richard_frederick, phillips_curran","karnes_joshua_andrew, richard_frederick, phillips_curran, wiskus_shane","phillips_curran, wiskus_shane, richard_frederick, karnes_joshua_andrew","richard_frederick, wiskus_shane, whittenburg_donnell, karnes_joshua_andrew"
"karnes_joshua_andrew","wiskus_shane","malone_brody","phillips_curran","nedoroscik_stephen",1,0,0,69,1,"nedoroscik_stephen, malone_brody, karnes_joshua_andrew, wiskus_shane","karnes_joshua_andrew, wiskus_shane, phillips_curran, nedoroscik_stephen","malone_brody, karnes_joshua_andrew, wiskus_shane, phillips_curran","malone_brody, nedoroscik_stephen, karnes_joshua_andrew, wiskus_shane","wiskus_shane, nedoroscik_stephen, karnes_joshua_andrew, phillips_curran","phillips_curran, wiskus_shane, malone_brody, karnes_joshua_andrew"
"hong_asher","wiskus_shane","richard_frederick","phillips_curran","whittenburg_donnell",0,0,1,69,0,"whittenburg_donnell, wiskus_shane, phillips_curran, hong_asher","hong_asher, richard_frederick, wiskus_shane, phillips_curran","richard_frederick, whittenburg_donnell, wiskus_shane, phillips_curran","hong_asher, phillips_curran, wiskus_shane, richard_frederick","whittenburg_donnell, hong_asher, wiskus_shane, richard_frederick","hong_asher, whittenburg_donnell, phillips_curran, richard_frederick"
"hong_asher","wiskus_shane","loos_riley","phillips_curran","skirkey_ian",0,2,0,69,2,"wiskus_shane, hong_asher, loos_riley, phillips_curran","phillips_curran, wiskus_shane, skirkey_ian, loos_riley","skirkey_ian, loos_riley, hong_asher, phillips_curran","wiskus_shane, skirkey_ian, loos_riley, hong_asher","phillips_curran, wiskus_shane, hong_asher, skirkey_ian","phillips_curran, hong_asher, loos_riley, skirkey_ian"
