"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","ID","FullName"
"bachurina","tatiana","w","CYP",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","VT",16,3.2,8.55,NA,11.75,"bachurina_tatiana","Tatiana Bachurina"
"bachurina","tatiana","m","CYP",NA,"BIRMINGHAM 2022 Commonwealth Games","AAqual","Birmingham, England","VT",NA,3.2,8.35,NA,11.55,"bachurina_tatiana","Tatiana Bachurina"
"bacskay","csenge maria","w","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",82,4.7,6.666,NA,11.366,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",123,4.1,7.433,NA,11.533,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",76,5.1,7.133,NA,12.233,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",51,4.6,8.5,NA,13.1,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",17,4.4,8.6,NA,13,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-08-11,"2022 Senior European Championships","qual","Munich, Germany","BB",77,4.6,6.533,NA,11.133,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-08-11,"2022 Senior European Championships","qual","Munich, Germany","VT",19,4.6,8.7,NA,13.3,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-08-11,"2022 Senior European Championships","TeamFinal","Munich, Germany","VT",9,4.6,9.2,NA,13.8,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge maria","w","HUN",2022-08-11,"2022 Senior European Championships","qual","Munich, Germany","VT",9,4.4,8.7,NA,13.1,"bacskay_csenge_maria","Csenge Maria Bacskay"
"bacskay","csenge","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","qual","Osijek, Croatia.","UB",6,5.3,7.6,NA,12.9,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","final","Osijek, Croatia.","UB",6,5.1,7.366,NA,12.466,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","qual","Osijek, Croatia.","VT",8,4.2,8.8,NA,13,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","final","Osijek, Croatia.","VT",2,4.6,8.566,0.3,12.866,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","final","Osijek, Croatia.","VT",2,4.4,8.933,NA,13.333,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","qual","Osijek, Croatia.","VT",8,3.4,8.6,NA,12,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-01,"2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel","UB",8,4.9,6.767,NA,11.667,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-01,"2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel","UB",7,4,5.267,NA,9.267,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-01,"2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel","VT",4,4.2,8.767,NA,12.967,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-01,"2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel","VT",2,4.6,8.667,NA,13.267,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-01,"2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel","VT",4,3.8,8.733,NA,12.533,"bacskay_csenge","Csenge Bacskay"
"bacskay","csenge","w","HUN",2023-06-01,"2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel","VT",2,4.4,8.633,NA,13.033,"bacskay_csenge","Csenge Bacskay"
"bacueti","james","m","AUS",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",69,5.3,8.033,0.3,13.033,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",116,4.8,6.266,NA,11.066,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",113,5.6,7.8,0.3,13.1,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",21,5.6,8.9,0.1,14.4,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","FX",24,5.8,6.4,0.1,12.1,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","PH",30,5.2,5.95,NA,11.15,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","VT",3,5.6,8.8,0.3,14.1,"bacueti_james","James Bacueti"
"bacueti","james","m","AUS",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","VT",4,5.2,8.9,0.1,14,"bacueti_james","James Bacueti"
"bago","daniel","m","CZE",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","FX",43,4.9,8.5,NA,13.4,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","HB",83,4.2,8.033,NA,12.233,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PB",83,4.3,8.333,NA,12.633,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PH",93,4,7.766,NA,11.766,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","SR",90,4.1,8.533,NA,12.633,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","VT",94,4.4,8.966,0.1,13.266,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PB",44,3.6,5.1,NA,8.7,"bago_daniel","Daniel Bago"
"bago","daniel","m","CZE",2023-03-09,"World Cup","qual","Baku, Azerbaijan","SR",31,4.3,7.9,NA,12.2,"bago_daniel","Daniel Bago"
"bailey","sacha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","BB",35,4.6,6,0,10.6,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","FX",40,4.2,7.15,0,11.35,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","UB",44,3.3,6.9,0,10.2,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",41,3.4,8.7,0,12.1,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",41,3.6,7.75,0,11.35,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","BB",31,4.2,6.4,0,10.6,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","FX",39,4.4,5.8,0.1,10.1,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","UB",39,3.3,6.15,0,9.45,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","VT",15,3.4,NA,0,12.25,"bailey_sacha","Sacha Bailey"
"bailey","sacha","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","VT",15,3.6,NA,0.3,10.9,"bailey_sacha","Sacha Bailey"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","FX",4,4.6,8.75,NA,13.35,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","FX",6,4.6,8.966,NA,13.566,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","FX",8,4.6,8.7,NA,13.3,"baines_frank","Frank Baines"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","HB",6,4.5,8.75,NA,13.25,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","HB",8,4.4,7.5,NA,11.9,"baines_frank","Frank Baines"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","PB",9,4.6,8.65,NA,13.25,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","PB",20,4.6,8.75,NA,13.35,"baines_frank","Frank Baines"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","PH",9,4.8,8.1,NA,12.9,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","PH",17,4.7,7.95,NA,12.65,"baines_frank","Frank Baines"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","SR",7,4.3,8.65,NA,12.95,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","SR",13,4.3,8.9,NA,13.2,"baines_frank","Frank Baines"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAfinal","Birmingham, England","VT",8,4.8,9.05,0.1,13.75,"baines_frank","Frank Baines"
"baines","frank","m","GBR",NA,"BIRMINGHAM 2022 Commonwealth Games","AAqual","Birmingham, England","VT",NA,4.8,9.35,NA,14.15,"baines_frank","Frank Baines"
"baines","frank","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","HB",11,4.5,8.75,NA,13.25,"baines_frank","Frank Baines"
"baker","shannon","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","BB",40,4,6.3,0,10.3,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","FX",27,4.7,7.1,0.1,11.7,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","UB",30,3.9,7,0,10.9,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",47,3.6,8.35,0,11.95,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","BB",19,5.1,6.55,0,11.65,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","FX",16,4.6,7.1,0,11.7,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","UB",38,4.2,5.3,0,9.5,"baker_shannon","Shannon Baker"
"baker","shannon","w","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","VT",28,3.6,NA,0,12.35,"baker_shannon","Shannon Baker"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",22,5.3,7.633,0.1,12.833,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",63,5.3,7.866,NA,13.166,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",7,5.7,8.1,NA,13.8,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",13,5.7,8.4,NA,14.1,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",9,6.1,8.333,NA,14.433,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",21,6.1,8.433,NA,14.533,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",17,4.9,7.8,NA,12.7,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",74,4.9,7.4,NA,12.3,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",20,4.4,8.466,NA,12.866,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",71,4.4,8.4,NA,12.8,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",22,4.4,8.9,0.1,13.2,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",111,4.4,8.766,NA,13.166,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","FX",62,5.4,7.666,0.1,12.966,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","HB",14,5.6,8.133,NA,13.733,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","HB",5,5.6,8.266,NA,13.866,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PB",26,5.8,8.166,NA,13.966,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","PB",16,6.1,7.733,NA,13.833,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PH",52,4.9,7.933,NA,12.833,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","PH",19,4.9,8.2,NA,13.1,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","SR",57,4.4,8.6,NA,13,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","VT",63,4.8,9.066,0.1,13.766,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","FX",89,5.2,7.466,0.1,12.566,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","final","Antalya, Turkey","HB",8,5.1,7.4,NA,12.5,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","HB",4,5.5,8.366,NA,13.866,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PB",53,5.9,7.3,NA,13.2,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PH",62,4.9,7.733,NA,12.633,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","SR",48,4.6,8.6,NA,13.2,"balazs_krisztian","Krisztian Balazs"
"balazs","krisztian","m","HUN",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","VT",109,4.4,8.733,0.1,13.033,"balazs_krisztian","Krisztian Balazs"
"balcova","adela","w","SVK",2022-08-11,"2022 Senior European Championships","qual","Munich, Germany","UB",76,3.5,7.6,NA,11.1,"balcova_adela","Adela Balcova"
"balcova","adela","w","SVK",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","BB",76,4.3,6.133,NA,10.433,"balcova_adela","Adela Balcova"
"balcova","adela","w","SVK",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","FX",106,4.4,6.266,NA,10.666,"balcova_adela","Adela Balcova"
"balcova","adela","w","SVK",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","UB",98,3.5,6.733,NA,10.233,"balcova_adela","Adela Balcova"
"balcova","adela","w","SVK",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","VT",97,3.4,8.6,NA,12,"balcova_adela","Adela Balcova"
"balzsay","hanna","w","HUN",2023-06-08,"2023 Osijek Challenge Cup","qual","Osijek, Croatia.","FX",11,4.2,7.933,NA,12.133,"balzsay_hanna","Hanna Balzsay"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","FX",33,5.1,5,0.3,9.8,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","HB",16,4.2,8.15,0,12.35,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","PB",12,5,8.05,0,13.05,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","final","Liverpool, England","PH",5,4.6,7.53,0,12.133,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","PH",6,4.7,7.95,0,12.65,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","final","Liverpool, England","SR",6,4.9,8.17,0,13.066,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","SR",7,4.9,8.3,0,13.2,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","final","Liverpool, England","VT",6,5.2,8.93,0.1,14.233,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",4,5.2,9.3,0,14.5,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","final","Liverpool, England","VT",6,5.2,7.87,0,13.066,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",4,4.8,8.4,0.1,13.3,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","FX",18,5.4,7.1,0,12.5,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","HB",20,4,8,0,12,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","PB",13,4.6,8.3,0,12.9,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","final","Liverpool, England","PH",4,5,7.6,0,12.6,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","PH",6,5,8.1,0,13.1,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","SR",11,4.8,8.25,0,13.05,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","VT",18,5.2,NA,0.1,14,"baptiste_raekwon","Raekwon Baptiste"
"baptiste","raekwon","m","GBR",2023-03-23,"2023 British Gymnastics Championships","qual","Liverpool, England","VT",18,NA,NA,NA,NA,"baptiste_raekwon","Raekwon Baptiste"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","final","Liverpool, England","FX",5,5.4,8.27,0,13.666,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","FX",2,5.4,8.55,0,13.95,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","HB",15,3.9,8.45,0,12.35,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","PB",14,4.2,8.7,0,12.9,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","PH",16,4.8,6.3,0,11.1,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",25,5.6,7.3,0.3,13.2,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","VT",25,5.2,9.1,0,14.3,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","FX",4,5.7,8.1,NA,13.8,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","FX",4,5.7,7.95,NA,13.65,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","final","Birmingham, England","VT",8,5.2,7.966,NA,13.166,"barber_emil","Emil Barber"
"barber","emil","m","GBR",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","VT",5,5.2,9,NA,14.2,"barber_emil","Emil Barber"
"barbosa","gabriel","m","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","PB",39,5.2,7.8,NA,13,"barbosa_gabriel","Gabriel Barbosa"
"barbosa","gabriel","m","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","final","Stuttgart, Germany","PH",6,5.5,7.033,NA,12.533,"barbosa_gabriel","Gabriel Barbosa"
"barbosa","gabriel","m","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","PH",9,5.2,8.3,NA,13.5,"barbosa_gabriel","Gabriel Barbosa"
"barbosa","gabriel","m","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","SR",33,5,8.1,NA,13.1,"barbosa_gabriel","Gabriel Barbosa"
"barbosa","gabriela","w","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","FX",34,4.3,7.1,NA,11.4,"barbosa_gabriela","Gabriela Barbosa"
"barbosa","gabriela","w","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","UB",25,4.8,7.45,NA,12.25,"barbosa_gabriela","Gabriela Barbosa"
"barbosa","gabriela","w","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","VT",31,4.2,8.45,NA,12.65,"barbosa_gabriela","Gabriela Barbosa"
"barbosa","gabriela","w","BRA",2023-03-17,"EnBW DTB Pokal Team Challenge 2023","qual","Stuttgart, Germany","VT",31,0,0,NA,0,"barbosa_gabriela","Gabriela Barbosa"
"barbosa","jade","w",NA,2023-06-08,"2023 Osijek Challenge Cup","qual","Osijek, Croatia.","UB",18,5.1,6.066,NA,11.166,"barbosa_jade","Jade Barbosa"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","BB",10,5.6,7.133,NA,12.733,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",34,5.7,6.8,NA,12.5,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",22,5.2,6.733,NA,11.933,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",19,5.6,7.7,NA,13.3,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","UB",21,5.9,6.866,NA,12.766,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",27,5.9,7.533,NA,13.433,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",19,4.2,8.9,NA,13.1,"barbosu_ana","Ana Barbosu"
"barbosu","ana","w","ROU",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",57,4.2,8.8,NA,13,"barbosu_ana","Ana Barbosu"
